조사일,주차,생장길이(cm),화방높이(cm),줄기굵기(mm),엽장(cm),엽폭(cm),엽수(개),개화군(점),착과군(점),최종화방번호(번),열매수(개)
2021-12-15,18,0,305,6.16,347.5,217.5,18.25,11.59,11.5,12.5,10.5
2021-12-21,19,352.5,265,8.51,372.5,275,16.5,12.14,12,13,11
2021-12-29,20,245,150,7.4,355,230,13.5,12.46,11.69,13.25,9.75
2022-01-05,21,175,327.5,11.14,392.5,342.5,12.25,13.02,13.38,13.75,13.25
2022-01-12,22,270,207.5,9.17,382.5,335,12.75,14.13,13.75,14.75,14.25
2022-01-18,23,177.5,377.5,10.64,410,400,12.5,14.33,14.04,14.75,13
2022-01-26,24,227.5,280,11.03,412.5,382.5,12.75,15.11,14.88,15.75,14.75
2022-02-01,25,192.5,230,10.32,397.5,350,15.25,15.77,15.75,16.5,16.75
2022-02-09,26,245,240,10.27,367.5,315,15.75,16.56,16.58,17.25,16.5
2022-02-15,27,225,277.5,10.88,332.5,305,13.5,17.01,17.25,17.75,18
2022-02-22,28,225,217.5,9.89,322.5,297.5,14.75,17.95,18.25,18.75,19.75
2022-03-01,29,250,230,9.41,323.75,308.75,14.25,18.76,18.88,19.5,21.5
2022-03-12,30,380,220,8.4,307.5,290,15.75,19.97,20.38,20.75,24
2022-03-15,31,97.5,163.75,7.57,266.25,245,15,20.58,20.33,21.25,25.25
