조사일,외부온도,외부 일사량,외부풍속,내부온도,내부습도,내부CO2,열매수
2021-01-06,9.445731707,143.6920732,1.492439185,18.28597561,79.1337386,380.0012136,13
2021-01-13,7.363414634,130.9378049,1.364590164,17.07439024,75.59696049,380.0012136,11
2021-01-20,6.152439024,122.4365854,1.325551232,16.08658537,71.53191489,380.0006068,10
2021-01-27,5.59695122,112.1195122,1.303732304,15.10304878,66.96291793,380.0006068,12
2021-02-03,4.793292683,108.9939024,1.275971957,14.23292683,61.66200608,380.0006068,12
2021-02-10,4.069512195,111.9865854,1.234109503,13.41402439,55.69057751,380,13
2021-02-24,3.041412911,121.7490865,1.198393078,11.98416565,43.93799392,380,14
2021-03-03,3.199147381,122.8672351,1.210591133,11.5499391,39.39088146,380,13
2021-03-10,3.520706456,124.3282582,1.192756292,11.17904994,34.90699088,380,14
2021-03-17,4.359830097,129.496966,1.167679222,10.80764563,29.45570388,380,16
2021-03-24,5.146237864,139.2075243,1.20631068,10.88106796,28.91868932,380,15
2021-03-31,6.810072816,146.5449029,1.233009709,11.12014563,28.80885922,385.9356796,17
2021-04-07,7.760315534,151.0819175,1.243325243,11.27973301,28.74271845,391.9593447,15
2021-04-21,9.02973301,175.8974515,1.262135922,11.58677184,28.18628641,402.9095874,15
2021-05-06,11.13834951,188.0479369,1.365291262,11.87257282,27.94660194,411.5540049,14
2021-05-13,12.37864078,190.3367718,1.33131068,12.34526699,30.22876214,414.8501214,16
2021-05-21,13.2032767,186.8974515,1.268203883,12.55521845,30.3743932,417.5230583,15
2021-05-27,14.01820388,195.7166262,1.253033981,12.77063107,30.22997573,419.3331311,16
2021-06-03,14.9223301,210.8555825,1.242718447,12.99575243,30.40230583,422.2627427,16
